task1,0.03178675484500011, 0.0752211510027171, 6.6539563470197916, 0.008249129518488618, 0.007913549477926869, 0.06883865480601117
task2,0.6620993325837167, 0.04328584980739469, 0.02497377662659484, 0.0024830381665590455, 0.0013672956185027728, 0.028886556630476064
task4,1.138186099406289, , 0.012979000368922203, 0.02248460819628554, 0.06797112125868529, 0.02653990723618835
task5,0.09757961945903391, 0.2018576548180488, 0.24108311159257423, 0.04873376454822073, 0.005359793672530258, 0.0034939525233710295
task6,1.7529903408892924, 0.136205366119184, 0.0034999861104978492, 2.8664666120025704, , 0.6059127454754059
task7,0.05807267910777821, 0.15010459431076809, 0.37360017026639547, 0.015213680850805985, 0.00022662529980259775, 0.03269780513542389
task8,0.0017660402235230256, 0.0012921753375872546, 0.24370226201690273, 2.857552020382668, 0.05962251992105917, 0.10952722887945146
task9,0.4319467337088656, 0.0019743362739748586, 0.09944778020582154, 6.675527446583842e-05, 0.03876752423741638, 0.007401740924948154
task10,0.15664571103525926, 0.009055917569859642, 0.00471517295459319, 0.0003071340800357517, 1.435329447655411, 0.012485985991373088
task11,1.0240352722037889, 0.0012182332056389447, 0.05811953152463604, 0.02349020096952848, 0.00020571175038380617, 0.2250087365682325
